Entry,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 233,Barnes legit.,Barnes,,s.n.,Feb. 1868,1868-02-00,,"Pogonatum urnigerum, Bridel.",Pogonatum urnigerum,,,,,Westmorland,,,,[precise locality unknown],,,,1058318|C2010618F,Handwritten,no type status
Entry 234,"Jack, Leiner u. Stizenberger",Jack,Leiner u. Stizenberger,986A b,25. August 1850,1850-08-25,,Pogonatum urnigerum (L.) Pal. Beauv,Pogonatum urnigerum (L.) Pal. Beauv,,,,,,,Salem,An Waldgräben bei Salem,An Waldgräben bei Salem,,,,1054838,Typed,no type status
Entry 235,"Jack, Leiner u. Stizenberger, Kryptogamen Badens",Dr. Hepp,,986 B,17. October 1862,1862-10-17,,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum (L.) Pal. Beauv.,,,,,,,Degerfelden,An einem Waldrande auf dem rothen Sandsteinbruche oberhalb Degerfelden,An einem Waldrande auf dem rothen Sandsteinbruche oberhalb Degerfelden,,,,1054981,Mix of Handwritten and Typed,no type status
Entry 236,Schenk,Schenk,,986B,September 1862,1862-09-00,,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum (L.) Pal. Beauv.,,,,,,,Schaffhausen,In Hohlwegen bei Schaffhausen,In Hohlwegen bei Schaffhausen,,,,1055069,Handwritten,no type status
Entry 237,Coll. and determ. C. Jensen,C. Jensen,,104,"November 21, 1904",1904-11-21,,Pogonatum urnigerum (Hedw.) PB. c. fr.,Pogonatum urnigerum (Hedw.) PB.,C. Jensen,,,Denmark,Zealand,,,sandy soil in Magistratskoven south of Hvalsö,sandy soil in Magistratskoven south of Hvalsö,sandy soil,,,,Typed,no type status
Entry 238,P. Allorge leg.,P. Allorge,,,22. VIII. 1927,1927-08-22,,"Pogonatum urnigerum (Linné Sp. Plant. II, p. 1109, N° 3, 1753, sub Polytricho), Palisot de Beauvois Prodr., p. 84, 1805, f. 2",Pogonatum urnigerum (Linné) Palisot de Beauvois,,,"Blasia pusilla L., Pellia epiphylla (L.) Lindb., Alicularia scalaris (Schr.) Corda, Dichodontium pellucidum (L. pp.) Schimp., Rhytidiadelphus loreus (Dill., L.) Warnst",Spain,Navarra,,,"Puerto de Ibañeta (Navarra), talus argileux (schistes)","Puerto de Ibañeta (Navarra), talus argileux (schistes)","Calcifuge, mésophile, sciaphile. Fréquent sur les talus siliceux frais, récemment dénudés",Alt. ca 1.050 m,,1200129,Typed,no type status
Entry 239,leg.Zd.Pilous,Zd. Pilous,,1025,VII.1949,1949-07-00,,Pogonatum urnigerum Pal. var.humile Brid.,Pogonatum urnigerum Pal. var.humile Brid.,,,,Slovakia,Montes Nízké Tatry,,,"In terra montis Ďumbier,ca 1840 m","In terra montis Ďumbier, ca 1840 m",,ca 1840 m,,1350887|C2010976F,Typed,no type status
Entry 240,S. Churchill et al.,S. Churchill,H. Huaylla | R. Lozano | M. Serrano,22853,12 May 2004,2004-05-12,,Neckera scabridens C. Müller,Neckera scabridens C. Müller,S. Churchill,Jun 2004,"Prumnopitys exigua, Podocarpus, Myrcianthes, N. chilensis",BOLIVIA,Chuquisaca,Belisario Boeto,,"Monte Grande, ca. 32 km de Villa Serrano. Bosque montano de yungas. Con Prumnopitys exigua, Podocarpus, Myrcianthes. <22845-22885>","Monte Grande, ca. 32 km de Villa Serrano. Bosque montano de yungas. Con Prumnopitys exigua, Podocarpus, Myrcianthes. <22845-22885>",Musgo sobre rama de árbol; c.fr.; con N. chilensis,2740 m,"18°43'43""S 64°29'07""W",1183467,Typed,no type status
Entry 241,E. Córdula (309); Y Melo & K.Pinheiro,E. Córdula,Y Melo | K. Pinheiro,309,23/VI/2007,2007-06-23,,Vigna peduncularis (Kunth.) Fawc & Rendle,Ancistrotropis peduncularis (Fawcett & Rendle) A. Delgado,G. P. Lewis,12.2012,,BRASIL,Pernambuco,Mirandiba,,Município de Mirandiba. Serra das Umburanas (afloramento rochoso),Município de Mirandiba. Serra das Umburanas (afloramento rochoso),"Caatinga arbórea-arbustiva densa, solo derivado de embasamento cristalino",457 m (base),Lat.: 8°12' S Long.: 38°32',49243 | K000931304,Mix of Handwritten and Typed,no type status
Entry 242,Ilkka Kukkonen 11003,I. Kukkonen,,11003,13. Sept. 1981,1981-09-13,,Arthropteris tenella (Forst.f.) J.Sm.,Arthropteris tenella (Forst.f.) J.Sm.,J. Sarvela,1982,,AUSTRALIA,Queensland,Atherton Tableland,,"Lamin's Hill, E. of Malanda","Lamin's Hill, East of Malanda",Patch of rain forest. Fern climbing on tree stems,,,EIG.6763|1591810|1459190,Typed,no type status
Entry 243,Pabst 5421,Pabst,,5421,7.9.60,1960-09-07,,Avicenia tomentosa,Avicenia tomentosa,A.P.Duarte,23.9.60,,Brasil,Guanabara,,Ilha do Governador,"Brasil-Guanabara, mangue próximo ao Jóquei Club da Ilha do Governador",mangue próximo ao Jóquei Club da Ilha do Governador,Arbusto e pequenas árvores de flores brancas,,,K001046329,Mix of Handwritten and Typed,no type status
Entry 244,W. Hoehne,W. Hoehne,,10228,13/9/33,1933-09-13,,Cestrum corymbosum Schlecht.,Cestrum corymbosum Schlecht.,M. Kuhlmann,,,Brasil,São Paulo,,São Paulo,"Cantareiras, São Paulo","Cantareiras, São Paulo",,,,K000964719|SPF 10228,Mix of Handwritten and Typed,no type status
Entry 245,leg. H. EGGERT,H. Eggert,,s.n.,17 May '77,1877-05-17,,Cystopteris bulbifera (L) Bernh,Cystopteris bulbifera (L) Bernh,,,,,Illinois,,,Bluffs in Illinois,Bluffs in Illinois,,,,EIG.5460|1126455,Handwritten,no type status
Entry 246,Ilkka Kukkonen 12608,I. Kukkonen,,12608,8.XI.1982,1982-11-08,,Dryopteris inaequalis (Schlechtend.) O. Kuntze,Dryopteris inaequalis (Schlechtend.) O. Kuntze,J. Sarvela,1983,"Festuca schefflerii, Euryops prostrata, Anthemis tigrensis, Juniperus procera",Ethiopia,Bale Adm. Reg.,,,"Bale Adm. Reg., Saneti plateau and Mount Batu, 06°55'N; 39°40'E, c. 4000-4200 m. In alpine belt dominated by Festuca schefflerii, Euryops prostrata, Anthemis tigrensis","On the way to Saneti plateau from Robe. Steep forested slope of a river canyon, e.g. Juniperus procera. Pastured slope","Steep forested slope of a river canyon, Pastured slope",Alt. c. 3400 m,06°55'N; 39°40'E,H 1489739|EIG.435,Typed,no type status
Entry 247,"Vallejo-Marín, M. with: Lye, G., Barragán, D., Vallejo, M.A., Marín, C., Vallejo, I.",M. Vallejo-Marín,G. Lye | D. Barragán | M.A. Vallejo | C. Marín | I. Vallejo,11-LED-seed-2-14,23 Mar 2012,2012-03-23,,Mimulus peregrinus sp. nov.,Mimulus peregrinus Vall.-Marín,,,M. x robertsii,British Isles,Scotland,South Lanarkshire,Leadhills,"British Isles, v.c. 77, Shortcleuch Water, Leadhills, South Lanarkshire, Scotland. OS Grid reference: NS 9029 1578. WGS84 coordinates: N 55.4237°, W 3.7349°","British Isles, v.c. 77, Shortcleuch Water, Leadhills, South Lanarkshire, Scotland. OS Grid reference: NS 9029 1578. WGS84 coordinates: N 55.4237°, W 3.7349°",Occurring on the banks of a stream on a substrate of sand and shingle,360 m,"N 55.4237°, W 3.7349°",E00570050,Typed,HOLOTYPE
Entry 248,B.T. Lowne,B. T. Lowne,,s.n.,Aug. 9th 1902,1902-08-09,,Monotropa Hypopithys,Monotropa Hypopithys,,,,United Kingdom,Surrey,,,Reigate Hill. Surrey,Reigate Hill. Surrey,,,,K000773283,Mix of Handwritten and Typed,no type status
Entry 249,Collector: Bart Van de Vijver,B. Van de Vijver,,s.n.,25/04/2007,2007-04-25,,Ophrys oestrifera subsp. garganensis Van de Vijver & W. Van Looken,Ophrys oestrifera subsp. garganensis Van de Vijver & W. Van Looken,,,Cistus and Pinus,ITALIA,Promontorio del Gargano,,Madonna di Loreto,Behind the Chapel of Madonna di Loreto,Behind the Chapel of Madonna di Loreto,macchia-shrub with Cistus and Pinus,,,BR - S.P. 691 837|0000006 91837 8,Mix of Handwritten and Typed,no type status
Entry 250,G. Hatschbach,G. Hatschbach,,20590,9/11/968,1968-11-09,,Pfaffia glabratoides Ssgth.,Pfaffia glabratoides Ssgth.,T. M. Pedersen,971,,Brazil,Paraná,Laranjeiras do Sul,,"Rio Iguaçu, prox. a barra do Perdido (mun. Laranjeiras do Sul) Paraná","Rio Iguaçu, prox. a barra do Perdido (mun. Laranjeiras do Sul) Paraná","Erva 1m, terreno arenoso, margens de rio",,,K001207911,Mix of Handwritten and Typed,no type status
Entry 251,"J.J. de Wilde, Sosef & van Nek",J. J. de Wilde,Sosef | van Nek,10130,22-1-1991,1991-01-22,,Rhynchosia gabonensis Jongkind,Rhynchosia gabonensis Jongkind,,,,Gabon,,,,"About 10 km. on the road from Tchimbélé to Assok. 0 04 N., 10 23 E. Alt.:± 580 m.",About 10 kilometers on the road from Tchimbélé to Assok,"Vine, 7 m. long in tree in roadside. Pods silvery-grey. Seeds glossy, dark blue. Leaflets thick leathery, dull, green above, beneath paler green, with reddish nervation",± 580 m,"0 04 N., 10 23 E",K000263710,Typed,ISOTYPE
Entry 252,WILHELM SUKSDORF,W. Suksdorf,,12045,3. Aug. 1926,1926-08-03,,Solanum triflorum Nutt.,Solanum triflorum Nutt.,T. Särkinen,2014,,United States,WASHINGTON,KLICKITAT COUNTY,Bingen,High sandy river-bank at Bingen,High sandy river-bank at Bingen,High sandy river-bank,,,BM000934757,Typed,no type status
Entry 253,COLL. J. FRANCIS MACBRIDE,J. F. Macbride,,5234,"AUG. 27-SEPT. 1, 1923",1923-08-27,1923-09-01,Tococa undabunda Macbr.,Tococa undabunda J.F. Macbr.,F.A. Michelangeli,20.08,,PERU,,LA MERCED,,Montaña slope ABOUT 4000 FEET HACIENDA SCHUNKE,Montaña slope ABOUT 4000 FEET HACIENDA SCHUNKE,,ABOUT 4000 FEET,,K000536956,Typed,Isotype of Tococa undabunda J.F. Macbr. Publ. Field Col. Mus. Bot. Ser. 4:177. 1929
Entry 254,"X.Cornejo, C.Bonifaz: 5822",X. Cornejo,C. Bonifaz,5822,"Oct. 27, 1997",1997-10-27,,Capparis sclerophylla Iltis nov.sp. ISOTIPO,Capparis sclerophylla Iltis,,,"C.heterophylla, C.scabrida, C.lanceolata y C.crotonoides",ECUADOR,Manabí,,Bahía de Caráquez,"Prov.Manabí.Bahía de Caráquez a 8 Km. Alrededores de Universidad Católica.Bosque seco tropical deciduo, fuertemente intervenido","Bahía de Caráquez a 8 Km. Alrededores de Universidad Católica. Bosque seco tropical deciduo, fuertemente intervenido","Arbusto de 1 m alto hasta arbolillo de 4 m. Flores blancas, corola refleja color blanco puro, filamentos (2mm). Ginóforo con pedúnculo blanco, cuando maduro púrpura. Partes vegetativas con olor a legumbre",30 m,-00.45 -80.32,B 10 0375227,Typed,ISOTIPO
Entry 255,M. l'Abbé DELAVAY,DELAVAY,,s.n.,2 april 1887,1887-04-02,,Gentiana albescens Franch.,Gentiana albescens Franch.,,,,CHINE,YUN-NAN,,,in collibus prope Mo-so-yn,in collibus prope Mo-so-yn,,,,B 10 0185601,Mix of Handwritten and Typed,no type status
Entry 256,Winfried Meier y Silvia Llamozas,Winfried Meier,Silvia Llamozas,3685,16-19 de abril 1993,1993-04-16,1993-04-19,Malmea diclina vel. aff.,Klarobelia subglobosa Chatrou,P. J. M. Maas,1994,,Venezuela,"Distrito Federal, Estado Miranda",,,"Distrito Federal, Estado Miranda: Cordillera de la Costa: excursión Guatire-Caruao: ruta: Fila Juan Torres-Rio Brazo Grande-Fila Maestra-Rio Caruao-población San Jorge de Caruao","Distrito Federal, Estado Miranda: Cordillera de la Costa: excursión Guatire-Caruao: ruta: Fila Juan Torres-Rio Brazo Grande-Fila Maestra-Rio Caruao-población San Jorge de Caruao","arbol caido, secado",500 msnm,"lat.: 10°34'N, long.: 66°23'O",B 10 0030508,Mix of Handwritten and Typed,Isotypus
Entry 257,Kessler 283,Kessler,,283,21.12.1988,1988-12-21,,Mallotus paniculatus,Mallotus paniculatus,Kessler,,,Indonesia,Sarawak,1st Division,,Base of Gunung Pueh,Base of Gunung Pueh,"Secondary vegetation along road. Shrub c. 4 m tall, stem and lower leaf surface brownish, fruit greenish brown",up to 200 m,,M/2003-8,Typed,no type status
Entry 258,M. JACOBS,M. Jacobs,,5005,Aug. 1,1958-08-01,,Piptospatha grabowskii (Engl.)Engl. (Syn. P. havilandii (Engl.)Engl.),Piptospatha grabowskii (Engl.)Engl.,,,,Borneo,Sarawak,1st div.,,"N.slopes of Mount Penrissen (S. of Kuching), approx. 1° N, 110° 10' E. Primary forest on sandstone substratum.","N.slopes of Mount Penrissen (S. of Kuching), Primary forest on sandstone substratum","In very moist sandstone gorge on rocks. Inflor. sheath violet, tip olive-greenish; ♀ and ♂ flowers sordidly pale yellow. Frequent on the spot. Pollinated by small blue glossy beetles.",Alt.: c. 700-900 m.,"approx. 1° N, 110° 10' E",B 10 0279821,Typed,no type status
Entry 259,"P. J. M. & H. Maas, L. Kollmann",P. J. M. Maas,H. Maas|L. Kollmann,8833,16 Feb 1999,1999-02-16,,Pseudoxandra sp. nov.,Pseudoxandra spiritus-sancti Maas,P.J.M. Maas,1999,,Brazil,Espírito Santo,Santa Teresa,Santa Teresa,"Est. Espírito Santo, Município de Santa Teresa, Estação Biológica de Santa Lúcia","Est. Espírito Santo, Município de Santa Teresa, Estação Biológica de Santa Lúcia","High forest, on brown sand; vegetation with many Palmae and terrestrial and epiphytic Bromeliaceae",800 m,19°58'S 40°32'W,B 10 0030420,Typed,Isotype
Entry 260,"leg. R. Berazaín, J. Bisse, M. A. Díaz, H. Dietrich, L. González Géigel, J. Gutiérrez, E. Köhler, L. Lepper, U. Rändel, H. Schaarschmidt",R. Berazaín,J. Bisse | M. A. Díaz | H. Dietrich | L. González Géigel | J. Gutiérrez | E. Köhler | L. Lepper | U. Rändel | H. Schaarschmidt,HFC 39098,09-II-1979,1979-02-09,,Stenandrium pallidum H. Dietr.,Stenandrium pallidum H. Dietr.,H. Manitz,2007,,Cuba,Guantánamo,San Antonio del Sur,,"Abra de Mariana, loma al oeste del barranco Coordenadas de la cuadrícula (Cuba 1:250000): 16/71 [,,15/70""]","Abra de Mariana, loma al oeste del barranco",,,"16/71 [,,15/70""]",B 10 0385068,Typed,Isotypus
