Entry,Images,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 229,"0269_C2000947F.jpg, 0269_C2000947F_collage.png",Rostan,N/A,N/A,1976,N/A,0000-00-00,N/A,Andreaeum crassinervum Duby,Andreaeum crassinervum,N/A,N/A,N/A,France,N/A,N/A,N/A,Briancon,[precise locality unknown],N/A,N/A,N/A,1058481,Handwritten,no type status
Entry 230,"0270_C2000949F.jpg, 0270_C2000949F_collage.png",ex herb. George E. Hunt,G. E. Hunt,N/A,s.n.,s.d.,0000-00-00,N/A,Sphagnum subsecundum,Sphagnum subsecundum,unsure and check,unsure and check,N/A,Scotland,N/A,N/A,N/A,Bield,Bield,N/A,N/A,N/A,1182976,Mix of Handwritten and Typed,no type status
Entry 231,"0271_C2010614F.jpg, 0271_C2010614F_collage.png",Leg. M. Conrad,M. Conrad,N/A,76.1.8693,Le 18.07.1976,1976-07-18,N/A,"Pogonatum urnigerum J. Beauv., Schimp.",Pogonatum urnigerum,M. Conrad,N/A,Polytrichum urnigerum,Switzerland,Valais,Val d'Hérens,La Forclaz,Sur talus éboulis alt. ca. 1750 m,Sur talus éboulis,N/A,alt. ca. 1750 m,N/A,1050871,Mix of Handwritten and Typed,no type status
Entry 232,"0272_C2010616F.jpg, 0272_C2010616F_collage.png",M. Onraedt,M. Onraedt,N/A,70.5.1880,Le 29.07.1976,1976-07-29,N/A,Pogonatum urnigerum P. Beauv. (Schimp.),Pogonatum urnigerum,J. Lewin,N/A,N/A,Switzerland,Valais,N/A,N/A,Cote du Palais Val d'Herens entre St. Martin et Mase,Cote du Palais Val d'Herens entre St. Martin et Mase,talus forestier,alt. 1600m,N/A,1050867,Mix of Handwritten and Typed,no type status
Entry 233,"0273_C2010618F.jpg, 0273_C2010618F_collage.png",Barnes legit,N/A,N/A,s.n.,Feb. 1840,1840-02-00,N/A,Pogonatum urnigerum Brid.,Pogonatum urnigerum,N/A,N/A,N/A,United Kingdom,England,Westmorland,N/A,Westmorland,[precise locality unknown],N/A,N/A,N/A,C2010618F,Mix of Handwritten and Typed,no type status
Entry 234,"0274_C2010620F.jpg, 0274_C2010620F_collage.png",Jack,Jack,N/A,986A b,25 August 1850,1850-08-25,N/A,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum,N/A,N/A,N/A,Germany,Baden-Württemberg,N/A,Salem,b. An Waldgraben bei Salem,An Waldgraben near Salem,N/A,N/A,N/A,1058838,Typed,no type status
Entry 235,"0275_C2010622F.jpg, 0275_C2010622F_collage.png",Dr. Hepp,D. Hepp,N/A,986,17. October 1862,1862-10-17,N/A,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum,unsure and check,N/A,N/A,Germany,Baden-Württemberg,N/A,Degerfelden,An einem Waldrande auf dem rothen Sandsteinbruche oberhalb Degerfelden,[precise locality unknown],An einem Waldrande auf dem rothen Sandsteinbruche,N/A,N/A,1054981,Typed,no type status
Entry 236,"0276_C2010624F.jpg, 0276_C2010624F_collage.png","Jack, Leiner u. Stizenberger",N/A,N/A,9863 d,September 1862,1862-09-00,N/A,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum,N/A,N/A,N/A,Switzerland,N/A,N/A,N/A,In Hohlwegen bei Schaffhausen,In Hohlwegen bei Schaffhausen,N/A,N/A,N/A,1055060,Typed,no type status
Entry 237,"0277_C2010626F.jpg, 0277_C2010626F_collage.png",Coll. and determ. C. Jensen,C. Jensen,N/A,104,"November 21, 1904",1904-11-21,N/A,Pogonatum urnigerum (Hedw.) P. B. c. fr.,Pogonatum urnigerum,C. Jensen,N/A,N/A,Denmark,Zealand,N/A,N/A,sandy soil in Magistratskovene south of Hvalsø,Magistratskovene south of Hvalsø,sandy soil,N/A,N/A,N/A,Typed,no type status
Entry 238,"0278_C2010974F.jpg, 0278_C2010974F_collage.png",P. Allorge,P. Allorge,N/A,49,22 VIII 1927,1927-08-22,N/A,"Pogonatum urnigerum (Linde) Spr. Plant. II p. 1109 N. 3 1733, sub Polytricho Palisot de Beauvois Prodr. p. 81 1805 C.",Pogonatum urnigerum,N/A,N/A,Blasia pusilla | Pellia epiphylla | Aulacomnion androgynum | Dicranella heteromalla,Spain,Navarra,N/A,N/A,Puerto de Ibañeta,Puerto de Ibañeta,Calcifuge mesophytic scapiule Frequent sur les talus siliceux frais récemment dénudés,Alt. ca. 1050 m,N/A,1200429,Typed,no type status
Entry 239,"0279_C2010976F.jpg, 0279_C2010976F_collage.png",leg. Zdeněk Pilous,Z. Pilous,N/A,s.n.,VII.1949,1949-07-00,N/A,1025. Pogonatum urnigerum Pal. var. humile Brid.,Pogonatum urnigerum var. humile,N/A,N/A,N/A,Slovakia,Nízke Tatry,N/A,N/A,In terra montis Ďumbier ca 1840 m,In terra montis Ďumbier,N/A,ca 1840 m,N/A,1350887,Typed,no type status
Entry 240,"0280_C1042257F.jpg, 0280_C1042257F_collage.png",S. Churchill et al. 22853,S. Churchill,H. Huaylla | R. Lozano | M. Serrano,22853,12 May 2004,2004-05-12,N/A,Neckera scabridens C. Müller,Neckera scabridens,S. Churchill,Jun 2004,N. chilensis | Prumnopitys exigua | Podocarpus | Myrcianthes,Bolivia,Chuquisaca,Belisario Boeto,N/A,Monte Grande ca. 32 km de Villa Serrano,Monte Grande approximately 32 kilometers from Villa Serrano,Bosque montano de yungas Musgo sobre rama de árbol,2740 m,"18°43'43""S 64°29'07""W",1183467,Typed,no type status
Entry 241,"0281_K000931304.jpg, 0281_K000931304_collage.png",C. E. Córdula | Y. Melo | K. Pinheiro,C. E. Córdula,Y. Melo | K. Pinheiro,49243,23/VI/2007,2007-06-23,N/A,Vigna peduncularis (Kunth) Fawc. & Rendle,Vigna peduncularis,G. P. Lewis,12.2012,N/A,Brazil,Pernambuco,N/A,Mirandiba,Serra das Umburanas (afloramento rochoso),Serra das Umburanas,Arbusto denso solo derivado de embasamento cristalino,Alt. 457 m,Lat. 8°12' S Long. 38°32' W,K000931304,Mix of Handwritten and Typed,no type status
Entry 242,"0282_EIG.6763.jpg, 0282_EIG.6763_collage.png",Ilkka Kukkonen 11003,I. Kukkonen,N/A,11003,13. Sept. 1981,1981-09-13,N/A,Arthropteris tenella (Forst. f.) J. Sm.,Arthropteris tenella,J. Sarvela,1982,N/A,Australia,Queensland,Atherton Tableland,N/A,Lamin's Hill E. of Malanda,Lamin's Hill East of Malanda,Patch of rain forest Fern climbing on tree stems,N/A,N/A,EIG.6763,Mix of Handwritten and Typed,no type status
Entry 243,"0283_K001046329.jpg, 0283_K001046329_collage.png",G. Pabst 5121,G. Pabst,N/A,5121,7.9.60,1960-09-07,N/A,Avicennia tomentosa,Avicennia tomentosa,A. P. Duarte,23.9.60,N/A,Brazil,Guanabara,N/A,N/A,Mangue próximo ao Jóquei Club da Ilha do Governador,Mangue próximo ao Jóquei Club da Ilha do Governador,Arbusto e pequenas árvores de flores brancas,N/A,N/A,K001046329,Typed,no type status
Entry 244,"0284_K000964719.jpg, 0284_K000964719_collage.png",W. Hoehne,W. Hoehne,N/A,10228,13/8/33,1933-08-13,N/A,Cestrum corymbosum Schlecht.,Cestrum corymbosum,M. Kuhlmann,N/A,N/A,Brazil,São Paulo,N/A,N/A,Cantareiras. São Paulo,Cantareiras,N/A,Alt.: . . . m,N/A,K000964719,Typed,no type status
Entry 245,"0285_EIG.5460.jpg, 0285_EIG.5460_collage.png",H. Eggert,H. Eggert,N/A,s.n.,17. Mai 79,1879-05-17,N/A,Cystopteris bulbifera (L.) Bernh.,Cystopteris bulbifera,unsure and check,N/A,N/A,United States,Illinois,N/A,N/A,Randolph,Randolph,N/A,N/A,N/A,1126455,Handwritten,no type status
Entry 246,"0286_EIG.435.jpg, 0286_EIG.435_collage.png",Ilkka Kukkonen 12608,I. Kukkonen,N/A,12608,8.XI.1982,1982-11-08,N/A,Dryopteris inaequalis (Schltdl.) O. Kuntze,Dryopteris inaequalis,J. Sarvela,1987,Juniperus procera,Ethiopia,Bale,N/A,N/A,Saneti plateau and Mount Batu 0655'N 3940'E c. 4000-4200 m,Saneti plateau and Mount Batu,In alpine belt dominated by Festuca schaefferi Euryops prostrata Anthemis tigresis Steep forested slope of a river canyon Pastured slope,Alt. c. 3400 m,0655'N 3940'E,H 1489739,Mix of Handwritten and Typed,no type status
Entry 247,"0287_E00570050.jpg, 0287_E00570050_collage.png",Vallejo-Marin M. 11-LED-seed-2.14,M. Vallejo-Marin,N/A,11-LED-seed-2.14,23 March 2012,2012-03-23,N/A,Mimulus peregrinus sp. nov.,Mimulus peregrinus,N/A,N/A,Mimulus x robertsii,Scotland,South Lanarkshire,N/A,N/A,British Isles vc 77 Shortcleuch Water Leadhills,Shortcleuch Water Leadhills,Occurring on the banks of a stream on a substrate of sand and shingle,360 m,N 55 25.437 W 3 43.749,E00570050,Mix of Handwritten and Typed,Holotype
Entry 248,"0288_K000773283.jpg, 0288_K000773283_collage.png",B. T. Lownes,B. T. Lownes,N/A,45,Aug. 9th 1902,1902-08-09,N/A,Monotropa Hypopitys,Monotropa hypopitys,Bentham,N/A,N/A,United Kingdom,Surrey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,648,Mix of Handwritten and Typed,no type status
Entry 249,"0289_BR0000006918378.jpg, 0289_BR0000006918378_collage.png",Bart Van de Vijver,B. Van de Vijver,N/A,s.n.,25/04/2007,2007-04-25,N/A,Ophrys oestrifera subsp. garganensis Van de Vijver & W. Van Looken,Ophrys oestrifera,unsure and check,N/A,Cistus | Pinus,Italy,Apulia,N/A,N/A,Promontorio del Gargano Madonna di Loreto Behind the Chapel of Madonna di Loreto,Behind the Chapel of Madonna di Loreto,macchia-shrub with Cistus and Pinus,N/A,N/A,691 837,Mix of Handwritten and Typed,no type status
Entry 250,"0290_K001207911.jpg, 0290_K001207911_collage.png",G. Hatschbach 20590,G. Hatschbach,N/A,20590,09/11/1968,1968-11-09,N/A,Pfaffia glabrataides Ssgth.,Pfaffia glabrataides,I. M. Pedersen,971,N/A,Brazil,Parana,Curitiba,N/A,Rio Iguacu prox a barra do Perdido,Rio Iguacu near the mouth of Perdido,Erva 1m terreno arenoso margens de rio,N/A,N/A,K001207911,Typed,no type status
Entry 251,"0291_K000263710.jpg, 0291_K000263710_collage.png",J.J. de Wilde Sosef K. van Nek,J. J. de Wilde,Sosef | K. van Nek,10130,22-1-1991,1991-01-22,N/A,Rhynchosia gabonensis Jongkind,Rhynchosia gabonensis,N/A,N/A,N/A,Gabon,N/A,N/A,N/A,About 10 km. on the road from Tchimbélé to Assok,About 10 kilometers on the road from Tchimbélé to Assok,Vine 7 meters long in tree in roadside,Alt. ± 580 m.,0 04 N. 10 23 E.,K000263710,Typed,Isotype
Entry 252,"0292_BM000934757.jpg, 0292_BM000934757_collage.png",WILHELM SUKSDORF,W. Suksdorf,N/A,12045,3. Aug. 1926,1926-08-03,N/A,Solanum triflorum Nutt.,Solanum triflorum,T. Särkinen | M. Nee,2014 | 2005,N/A,United States,Washington,Klickitat,Bingen,High sandy river-bank at Bingen,High sandy river-bank,N/A,N/A,N/A,BM000994757,Typed,no type status
Entry 253,"0293_K000536956.jpg, 0293_K000536956_collage.png",COLL. J. FRANCIS MACBRIDE,J. F. Macbride,N/A,5234,"AUG. 27-SEPT. 1, 1923",1923-08-27,1923-09-01,Isotype of Tococa undabunda J. F. Macbr.,Tococa undabunda,F. A. Michelangeli,20.08,N/A,Peru,N/A,N/A,La Merced,La Merced Hacienda Schunke,Hacienda Schunke,Montaña slope,About 4000 feet,N/A,K000536956,Mix of Handwritten and Typed,Isotype
Entry 254,"0294_B 10 0375227.jpg, 0294_B 10 0375227_collage.png","X. Cornejo, C. Bonifaz",X. Cornejo,C. Bonifaz,5822,"Oct. 27, 1997",1997-10-27,N/A,Capparis sclerophylla Iltis nov. sp.,Capparis sclerophylla,unsure and check,19 JUL 2010,C. heterophylla | C. scabrida | C. lanceolata | C. crotonoides,Ecuador,Manabí,N/A,Bahía de Caráquez,"Alrededores de Universidad Católica. Bosque seco tropical deciduo, fuertemente intervenido",Alrededores de Universidad Católica,"Bosque seco tropical deciduo, fuertemente intervenido",30 m,LATITUD -00.45 LONGITUD -80.32,B 10 0375227,Typed,Isotipo
Entry 255,"0295_B 10 0185601.jpg, 0295_B 10 0185601_collage.png",M. l'abbé Delavay,M. Delavay,N/A,s.n.,2 avril 1887,1887-04-02,N/A,Gentiana albescens Franch.,Gentiana albescens,unsure and check,N/A,N/A,China,Yunnan,N/A,N/A,in collibus prope Mo-so-yn,[precise locality unknown],N/A,N/A,N/A,B 10 0185601,Mix of Handwritten and Typed,no type status
Entry 256,"0296_B 10 0030508.jpg, 0296_B 10 0030508_collage.png",Winfried Meier y Silvia Llamozas,W. Meier,S. Llamozas,3685,16-17 de abril 1993,1993-04-16,1993-04-17,Klarobelia subglobosa Chatrou,Klarobelia subglobosa,P. J. M. Maas,1994,N/A,Venezuela,Distrito Federal,Estado Miranda,N/A,Cordillera de la Costa en: cuenca Guatire-Caucagua ruta: Fila Juan Torres-Rio Brazo Grande-Fila Maestra-Rio Caruao-poblacion San Jorge de Caruao,Cordillera de la Costa en cuenca Guatire-Caucagua ruta Fila Juan Torres-Rio Brazo Grande-Fila Maestra-Rio Caruao-poblacion San Jorge de Caruao,arbol caido secado Fila Jabilllar en selva,500 m,lat. 10°34' N long. 66°23' O,B 10 0030508,Mix of Handwritten and Typed,Isotypus
Entry 257,"0297_B 10 0069251.jpg, 0297_B 10 0069251_collage.png",Kessler 283,M. Kessler,N/A,283,21.12.1988,1988-12-21,N/A,Mallotus paniculatus,Mallotus paniculatus,M. Kessler,18. MRZ 1994,N/A,Malaysia,Sarawak,N/A,N/A,Sarawak 1st Division Base of Gunung Pueh,Base of Gunung Pueh,Secondary vegetation along road,Alt. up to 200 m,N/A,B 10 0069251,Typed,no type status
Entry 258,"0298_B 10 0279821.jpg, 0298_B 10 0279821_collage.png",M. Jacobs,M. Jacobs,N/A,5005,Aug. 1,1958-08-01,N/A,Piptospatha grabowskii (Engl.) Engl. (Syn. P. havilandii (Engl.) Engl.),Piptospatha grabowskii,N/A,N/A,N/A,Malaysia,Sarawak,N/A,N/A,N. slopes of Mount Penrissen (S. of Kuching),North slopes of Mount Penrissen South of Kuching,In very moist sandstone gorge on rocks. Inflorescence sheath violet tip olive-greenish. Male and female flowers sordidly pale yellow. Frequent on the spot. Pollinated by small blue-glossy beetles,c. 700-900 m,approx. 1°5' N. 110°15' E.,B 10 0027824,Typed,no type status
Entry 259,"0299_B 10 0030420.jpg, 0299_B 10 0030420_collage.png","P. J. M. & H. Maas, L. Kollmann",P. J. M. Maas,H. Maas | L. Kollmann,8833,16 Feb 1999,1999-02-16,N/A,Pseudoxandra spiritus-sancti Maas,Pseudoxandra spiritus-sancti,P. J. M. Maas,"Utrecht, 2001",N/A,Brazil,Espírito Santo,Santa Teresa,N/A,"Est. Espírito Santo, Municipio de Santa Teresa, Estação Biológica de Santa Lúcia",Estação Biológica de Santa Lúcia,"High forest, on brown sand; vegetation with many Palmae and terrestrial and epiphytic Bromeliaceae",800 m,19°58'S 40°32'W,B 10 0030420,Typed,Isotype
Entry 260,"0300_B 10 0385068.jpg, 0300_B 10 0385068_collage.png","R. Berazaín, J. Bisse, M. A. Díaz, H. Dietrich, L. González Gijépel, J. Gutiérrez, K. Kohler, L. Lepper, U. Rändel, H. Schaarschmidt",R. Berazaín,J. Bisse | M. A. Díaz | H. Dietrich | L. González Gijépel | J. Gutiérrez | K. Kohler | L. Lepper | U. Rändel | H. Schaarschmidt,1671,09-11-1979,1979-11-09,N/A,Hieracium pallidum K. Dietr.,Hieracium pallidum,H. Manitz,2007,N/A,Cuba,Guantánamo,San Antonio del Sur,N/A,"Abra de Mariana, loma al oeste del barranco","Abra de Mariana, loma al oeste del barranco",N/A,1671 [5/7]0 m,Coordenadas de la cuadrícula (Cuba 1:250000): 1671 [5/7]0,HFC 39098,Mix of Handwritten and Typed,Isotype
