Entry,Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,"I'm unable to transcribe the collector's name from the image. However, I can provide the rest of the transcription based on the visible information","I'm unable to transcribe the entire label as it is in an image format. However, I can provide a transcription based on the visible text"
Entry 245,0285_EIG.5460_collage.png,leg. H. Eggert,H. Eggert,N/A,s.n.,17. Mai 79,1879-05-17,N/A,Cystopteris bulbifera (L.) Bernh.,Cystopteris bulbifera,N/A,N/A,N/A,United States,Illinois,N/A,N/A,Bluffs bei Illinois,Bluffs,N/A,N/A,N/A,EIG.5460,Mix of Handwritten and Typed,no type status,,
Entry 246,0286_EIG.435_collage.png,Ilkka Kukkonen 12608,I. Kukkonen,N/A,12608,8.XI.1982,1982-11-08,N/A,Dryopteris inaequalis (Schltdl.) O. Kuntze,Dryopteris inaequalis,J. Sarvela,1987,Festuca schimperiana | Euryops prostrata | Anthemis tigreensis | Juniperus procera,Ethiopia,Bale,N/A,N/A,"Bale Adm. Reg., Saneti plateau and Mount Batu",Saneti plateau and Mount Batu,"In alpine belt dominated by Festuca schimperiana, Euryops prostrata, Anthemis tigreensis. On the way to Saneti plateau from Robe. Steep forested slope of a river canyon, e.g. Juniperus procera. Pastured slope.",Alt. c. 3400 m. c. 4000-4200 m.,06°55'N; 39°40'E,H 1489737,Typed,no type status,,
Entry 247,0287_E00570050_collage.png,Vallejo-Marin M. 11-LED-seed-2.14,M. Vallejo-Marin,N/A,11-LED-seed-2.14,23 Mar 2012,2012-03-23,N/A,Mimulus peregrinus sp. nov.,Mimulus peregrinus,M. Vallejo-Marin | C. Lye | D. Barrigan,27 August 2011,Mimulus x robertsii,Scotland,South Lanarkshire,N/A,N/A,British Isles vc. 77 Shortcleuch Water Leadhills,Shortcleuch Water Leadhills,Occurring on the banks of a stream on a substrate of sand and shingle,360 m,N 55  A237 W 3 7349,E00570050,Mix of Handwritten and Typed,Holotype,,
Entry 248,0288_K000773283_collage.png,B. T. Lowne,B. T. Lowne,N/A,648,Aug. 9th 1902,1902-08-09,N/A,Monotropa Hypopitys,Monotropa hypopitys,Bentham,N/A,N/A,United Kingdom,Surrey,N/A,N/A,N/A,N/A,N/A,N/A,"45° 26' 1126""",K000773283,Mix of Handwritten and Typed,no type status,,
Entry 249,0289_BR0000006918378_collage.png,Bart Van de Vijver,B. Van de Vijver,N/A,s.n.,25/04/2007,2007-04-25,N/A,Ophrys oestrifera subsp. garganensis Van de Vijver & W. Van Looken,Ophrys oestrifera subsp. garganensis,unsure and check,unsure and check,Cistus | Pinus,Italy,Apulia,N/A,N/A,Promontorio del Gargano Madonna di Loreto Behind the Chapel of Madonna di Loreto,Promontorio del Gargano Madonna di Loreto Behind the Chapel of Madonna di Loreto,macchia-shrub with Cistus and Pinus,N/A,N/A,691837,Mix of Handwritten and Typed,no type status,,
Entry 250,0290_K001207911_collage.png,G. Hatschbach,G. Hatschbach,N/A,20590,9/11/1968,1968-11-09,N/A,Pfaffia glabrataoides Suess.,Pfaffia glabrataoides,T. M. Pedersen,971,N/A,Brazil,Parana,N/A,Curitiba,Rio Iguacu prox a barra do Perdido,Rio Iguacu near the mouth of Perdido,Terreno arenoso margens de rio,N/A,25G59G,K001207911,Mix of Handwritten and Typed,no type status,,
Entry 251,0291_K000263710_collage.png,"J. J. de Wilde, Sosef, K. van Nek",J. J. de Wilde,Sosef | K. van Nek,10130,22-1-1991,1991-01-22,N/A,Rhynchosia gabonensis Jongkind,Rhynchosia gabonensis,N/A,N/A,N/A,Gabon,N/A,N/A,N/A,About 10 km. on the road from Tchimbele to Assok,About 10 kilometers on the road from Tchimbele to Assok,Vine 7 meters long in tree in roadside Pods silvery-grey Seeds glossy dark blue Leaflets thick leathery dull green above beneath paler green with reddish nervation,Alt. ± 580 m.,0 04 N. 10 23 E.,K000263710,Typed,Isotype,,
Entry 252,0292_BM000934757_collage.png,WILHELM SUKSDORF,W. Suksdorf,N/A,12045,3. Aug. 1926.,1926-08-03,N/A,Solanum triflorum Nutt.,Solanum triflorum,T. Särkinen | M. Nee,2014 | 2005,N/A,United States,Washington,Klickitat,Bingen,High sandy riverbank at Bingen,High sandy riverbank,High sandy riverbank,N/A,N/A,N/A,Typed,no type status,,
Entry 253,0293_K000536956_collage.png,COLL. J. FRANCIS MACBRIDE,J. F. Macbride,N/A,5234,"AUG. 27-SEPT. 1, 1923",1923-08-27,1923-09-01,Isotype of Tococa undabunda J. F. Macbr.,Tococa undabunda,F. A. Michelangeli,20.08,N/A,Peru,N/A,N/A,La Merced,Montaña slope,Montaña slope,N/A,ABOUT 4000 FEET,N/A,N/A,Mix of Handwritten and Typed,Isotype,,
Entry 254,0294_B 10 0375227_collage.png,"X. Cornejo, C. Bonifaz",X. Cornejo,C. Bonifaz,5822,"Oct. 27, 1997",1997-10-27,N/A,Capparis sclerophylla Iltis nov. sp.,Capparis sclerophylla,unsure and check,19 JUL 2010,C. heterophylla | C. scabrida | C. lanceolata | C. crotonoides,Ecuador,Manabí,N/A,N/A,Prov. Manabí. Bahía de Caráquez a 8 Km. Alrededores de Universidad Católica,Bahía de Caráquez at 8 kilometers around Universidad Católica,"Bosque seco tropical deciduo, fuertemente intervenido",30,LATITUD -00.45 LONGITUD -80.32,B 10 0375227,Mix of Handwritten and Typed,Isotipo,,
Entry 255,0295_B 10 0185601_collage.png,M. l'Abbé Delavay,M. Delavay,N/A,s.n.,2 avril 1887,1887-04-02,N/A,Gentiana albescens Franch.,Gentiana albescens,unsure and check,N/A,N/A,China,Yunnan,N/A,N/A,collines prope Mo-so-yn,[precise locality unknown],N/A,N/A,N/A,B 10 0185601,Mix of Handwritten and Typed,no type status,,
Entry 256,0296_B 10 0030508_collage.png,col. Winfried Meier y Silvia Llamozas,W. Meier,S. Llamozas,3685,16-17 de abril 1993,1993-04-16,1993-04-17,Malmea dielsiana,Klarobelia subglobosa,C. Chatrou,comp. apr. 1999,N/A,Venezuela,Miranda,N/A,N/A,Cordillera de la Costa entre Curimagua y Guatire,Cordillera de la Costa entre Curimagua y Guatire,arbol caido secado en selva,500 m,lat. 10°34' N long. 66°23' O,B 10 0030508,Mix of Handwritten and Typed,Isotype,,
Entry 257,0297_B 10 0069251_collage.png,Kessler,M. Kessler,N/A,283,21.12.1988,1988-12-21,N/A,Mallotus paniculatus,Mallotus paniculatus,M. Kessler,N/A,N/A,Malaysia,Sarawak,N/A,N/A,Base of Gunung Pueh,Base of Gunung Pueh,Secondary vegetation along road,Alt. up to 200 m,N/A,B 10 0069251,Typed,no type status,,
Entry 258,0298_B 10 0279821_collage.png,M. Jacobs,M. Jacobs,N/A,5605,1958 Aug. 1,1958-08-01,N/A,Piptospatha grabowskii (Syn. P. havilandii (Engl. & K. Krause)),Piptospatha grabowskii,N/A,N/A,N/A,Malaysia,Sarawak,N/A,N/A,N. slopes of Mount Penrissen (S. of Kuching) approx. 1°5' N. 110°15' E. Primary forest on sandstone substratum,North slopes of Mount Penrissen South of Kuching,In very moist sandstone gorge on rocks. Inflor. sheath violet tip olive-greenish; male and female flowers sordidly pale yellow. Frequent on the spot. Pollinated by small blue-glossy beetles,c. 700-900 m.,approx. 1°5' N. 110°15' E.,159859,Typed,no type status,,
Entry 259,0299_B 10 0030420_collage.png,"P. J. M. & H. Maas, L. Kollmann",P. J. M. Maas,H. Maas | L. Kollmann,8833,16 Feb 1999,1999-02-16,N/A,Pseudoxandra spiritus-sancti Maas,Pseudoxandra spiritus-sancti,P. J. M. Maas,2001,N/A,Brazil,Espírito Santo,Santa Teresa,N/A,"Est. Espírito Santo, Municipio de Santa Teresa, Estação Biológica de Santa Lúcia",Estação Biológica de Santa Lúcia,"High forest, on brown sand; vegetation with many Palmae and terrestrial and epiphytic Bromeliaceae",800 m,19°58'S 40°32'W,B 10 0030420,Typed,Isotype,,
Entry 260,0300_B 10 0385068_collage.png,N/A,N/A,N/A,39098,s.d.,0000-00-00,N/A,Stenandrium pallidum K. Dietr.,Stenandrium pallidum,H. Manitz,2007,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,B 10 0385068,Mix of Handwritten and Typed,Isotypus,,
